time,Latitude,,Longitude,
23,4202.1142,N,7141.7853,W
24,4202.1142,N,7141.7853,W
25,4202.1142,N,7141.7853,W
26,4202.1142,N,7141.7853,W
27,4202.1142,N,7141.7853,W
28,4202.1142,N,7141.7853,W
29,4202.1142,N,7141.7853,W
30,4202.1142,N,7141.7853,W
31,4202.1142,N,7141.7853,W
32,4202.1142,N,7141.7853,W
33,4202.1142,N,7141.7853,W
34,4202.1142,N,7141.7853,W
